source_id,angular_distance,number_of_neighbours,gaia_astrometric_params,table2_oid,ra,dec,ep,vmag,sptype,dist,pmra,pmde,simbadname,original_ext_source_id
2084032554258818944,0.012287688408599534,1,5,1404,306.7595833333333,49.38333333333333,2000,5.73,"F0V:   ",37.6,0.07,0.06,HIP100859,100859.0
1990723839987250176,0.030146828955482687,1,5,1594,348.13749999999993,49.40611111111111,2000,4.53,"F0V    ",24.4,0.09,0.1,HIP114570,114570.0
2129771310248902016,0.021064329065653493,1,5,1336,291.6083333333333,49.46527777777778,2000,8.01,"K3V    ",25.1,0.46,0.71,HIP95575,95575.0
1555608537246019968,0.0020310484781383073,1,5,887,196.42249999999999,49.47166666666667,2000,9.26,"K0     ",21.8,0.06,0.14,HIP63894,63894.0
436648129326142336,0.01719774587139688,1,5,219,47.266666666666666,49.613055555555555,2000,4.05,"G0V    ",10.5,1.26,-0.09,HIP14632,14632.0
1592338513445876608,0.007545372305987669,1,5,1016,224.0958333333333,49.62833333333333,2000,5.63,"F7V    ",24.8,0.11,-0.23,HIP73100,73100.0
976893923544104576,0.007924216855822053,1,5,523,112.48333333333332,49.67222222222222,2000,5.35,"F6V    ",19.9,0.11,-0.08,HIP36439,36439.0
256487136159035136,3.906991622660642E-4,1,5,355,74.71083333333333,49.84916666666667,2000,9.8,"M2     ",16.5,0.11,-0.11,HIP23147,23147.0
1403076622018595072,0.0031978109604397743,1,5,1088,239.7683333333333,49.880833333333335,2000,6.04,"F0IV   ",49.0,0.02,-0.06,HIP78286,78286.0
1510834911934401152,0.0034214593603842025,1,5,943,207.99999999999997,49.950833333333335,2000,8.82,"K5     ",14.0,0.42,-0.14,HIP67691,67691.0
2123090918115438592,0.0056271672207702395,1,5,1253,272.7345833333333,49.971111111111114,2000,10.0,"K7     ",26.7,-0.01,-0.23,HIP89087,89087.0
2135110401277424384,0.04068461310606225,1,5,1348,294.11041666666665,50.221111111111114,2000,4.49,"F4V    ",18.5,-0.01,0.26,HIP96441,96441.0
