Star,RAJ20155,Dec20155,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP33142,103.52080069444443,60.86499791666667,2015.5,11.0,M:     ,10.6,0.49,-0.99,HIP33142
HIP33202,103.6613048611111,13.177238888888889,2015.5,4.73,F0Vp   ,27.9,0.07,-0.08,HIP33202
HIP33226,103.69924930555555,33.26536111111111,2015.5,9.89,K:...  ,5.51,-0.73,-0.4,HIP33226
HIP33277,103.82764722222221,25.375757638888892,2015.5,5.74,G0V    ,17.2,-0.04,0.03,HIP33277
HIP33302,103.90617013888888,-20.136119444444443,2015.5,4.66,F2IV/V ,29.2,0.05,0.04,HIP33302
HIP33373,104.11789166666667,40.071202777777785,2015.5,9.08,K5V    ,24.0,0.12,-0.44,HIP33373
HIP33428,104.27012222222221,30.754906944444446,2015.5,9.68,M0     ,18.6,0.08,-0.22,HIP33428
HIP33478,104.39057638888887,-24.630227083333335,2015.5,5.45,F3V    ,38.5,-0.1,0.09,HIP33478
HIP33499,104.43675694444444,-44.29138055555555,2015.5,10.8,M4+... ,8.02,-1.1,-0.04,HIP33499
HIP33537,104.54950347222223,22.47650694444444,2015.5,6.94,G5V    ,24.2,0.05,0.1,HIP33537
HIP33560,104.60908680555555,-12.992677083333332,2015.5,9.14,K4V    ,22.3,0.05,-0.15,HIP33560
HIP33690,104.9976722222222,-61.334359722222224,2015.5,6.81,K0IV-V ,18.4,-0.16,0.26,HIP33690
HIP33817,105.30849791666664,-25.948341666666668,2015.5,6.71,K1V    ,14.6,0.21,0.04,HIP33817
HIP33852,105.41453819444443,48.375714583333334,2015.5,7.98,K3V    ,20.4,0.55,-0.43,HIP33852
HIP33955,105.67740277777777,-6.8012548611111106,2015.5,8.38,K5V    ,18.7,-0.2,-0.31,HIP33955
HIP34017,105.8781611111111,29.331353472222222,2015.5,5.93,G4V    ,19.0,0.16,-0.83,HIP34017
HIP34052,105.95862777777776,-43.558416666666666,2015.5,8.67,K5V... ,16.9,-0.08,0.4,HIP34052
HIP34065,105.98807638888887,-43.60515069444445,2015.5,5.56,G3V... ,16.2,-0.1,0.39,HIP34065
HIP34069,105.99474305555555,-43.60841666666667,2015.5,6.83,K0V    ,15.0,-0.1,0.4,HIP34069
HIP34104,106.07294166666664,10.503087500000001,2015.5,10.9,M5     ,15.3,-0.12,-0.82,HIP34104
HIP34115,106.11027430555554,68.28894791666667,2015.5,11.9,M5     ,15.2,0.35,0.05,HIP34115
HIP34341,106.78881736111109,3.4454034722222224,2015.5,9.84,M0V    ,26.7,0.01,-0.27,HIP34341
HIP34361,106.84676388888887,-21.458914583333332,2015.5,11.1,M2V:   ,17.2,0.2,-0.21,HIP34361
HIP34414,107.0164222222222,29.83242361111111,2015.5,8.32,G5     ,22.2,-0.16,-0.3,HIP34414
HIP34567,107.39669166666664,25.72739861111111,2015.5,7.09,G8V    ,24.5,-0.12,-0.18,HIP34567
HIP34782,108.01681388888888,-30.82097638888889,2015.5,6.1,A8III/I,47.5,-0.04,0.02,HIP34782
HIP34834,108.13905694444443,-46.75842569444444,2015.5,4.49,F0IV   ,21.1,-0.14,0.11,HIP34834
HIP34890,108.27776458333332,-63.34081527777778,2015.5,9.08,K5V    ,19.9,-0.27,0.58,HIP34890
HIP34950,108.46848819444445,25.010504861111112,2015.5,8.4,K1V    ,25.1,-0.41,-0.09,HIP34950
HIP35136,108.95895208333333,47.23844236111111,2015.5,5.54,G0V    ,16.8,0.03,-0.19,HIP35136
HIP35191,109.08223055555554,27.140875,2015.5,10.8,---    ,12.3,-0.04,-0.2,HIP35191
HIP35296,109.37319861111109,-46.97519236111111,2015.5,6.7,K2V    ,14.7,-0.02,0.59,HIP35296
HIP35350,109.52299652777776,16.540008333333333,2015.5,3.58,A3V... ,28.9,-0.05,-0.04,HIP35350
HIP35550,110.03069861111109,21.98215486111111,2015.5,3.5,F0IV...,18.0,-0.02,-0.01,HIP35550
HIP35643,110.3225798611111,45.22812291666667,2015.5,5.74,A7s    ,34.4,-0.05,0.01,HIP35643
HIP35821,110.811275,46.08560555555556,2015.5,10.5,M2     ,16.2,-0.12,-0.24,HIP35821
HIP35872,110.94678888888888,12.961547916666666,2015.5,8.19,G5     ,25.0,0.08,-0.43,HIP35872
HIP36046,111.43085833333332,27.797516666666667,2015.5,3.78,G9III+.,38.6,-0.12,-0.08,HIP36046
HIP36121,111.61117013888888,-15.77095138888889,2015.5,9.21,K4V    ,25.6,0.05,-0.1,HIP36121
HIP36152,111.70749513888887,21.535353472222223,2015.5,6.54,F6V    ,30.8,-0.31,-0.03,HIP36152
GJ273,111.85592291666666,5.200977083333333,2015.5,9.85,M3.5V  ,3.75,0.57,-3.69,GJ273
HIP36210,111.85429652777776,-51.402499999999996,2015.5,6.72,G5IV-V ,22.5,-0.29,0.0,HIP36210
HIP36349,112.21329097222221,-30.247542361111112,2015.5,9.96,M1V:e..,15.5,-0.13,-0.13,HIP36349
HIP36357,112.25857777777776,31.99475625,2015.5,7.73,K2V    ,17.5,0.16,0.17,HIP36357
HIP36366,112.27899444444444,31.785724305555558,2015.5,4.16,F0V... ,18.4,0.16,0.19,HIP36366
HIP36393,112.33479791666664,28.11771875,2015.5,5.07,A4V    ,50.0,-0.03,-0.05,HIP36393
HIP36399,112.35700347222222,-7.550235416666666,2015.5,5.86,F8V    ,27.8,0.05,0.13,HIP36399
HIP36439,112.48407430555554,49.67168333333333,2015.5,5.35,F6V    ,19.9,0.11,-0.08,HIP36439
HIP36515,112.67647708333331,-37.338829861111115,2015.5,6.66,G3V    ,21.7,-0.09,0.05,HIP36515
HIP36551,112.7825548611111,14.611935416666666,2015.5,8.94,K5     ,21.2,0.07,-0.29,HIP36551
HIP36627,112.98699861111109,36.228038194444444,2015.5,11.8,M4     ,11.4,-0.26,-0.25,HIP36627
HIP36704,113.25216319444442,37.02978958333333,2015.5,7.68,G5     ,19.6,-0.05,0.01,HIP36704
HIP36817,113.57689374999998,-23.473611111111108,2015.5,5.06,F6V    ,29.0,-0.09,0.0,HIP36817
HIP36827,113.60862777777776,-6.896936111111111,2015.5,8.16,K2V    ,24.8,-0.08,-0.04,HIP36827
HIP36850,113.64816874999998,31.88704513888889,2015.5,1.58,A2Vm   ,15.8,-0.21,-0.15,HIP36850
HIP36915,113.84044166666665,54.84985694444445,2015.5,11.3,M0     ,13.1,-0.12,0.02,HIP36915
HIP36927,113.86092569444443,-52.440748611111104,2015.5,8.78,K3IV-V ,25.2,-0.11,0.26,HIP36927
HIP36985,114.02985277777776,-3.1122395833333334,2015.5,9.87,---    ,14.3,0.04,-0.25,HIP36985
HIP37217,114.67386458333331,-21.227610416666668,2015.5,11.6,M2     ,10.8,0.45,-0.47,HIP37217
GJ280,114.82056666666665,5.217716666666667,2015.5,0.37,F5IV   ,3.5,-0.72,-1.04,GJ280
HIP37288,114.84482291666666,2.181927083333333,2015.5,9.66,M0     ,14.8,-0.15,-0.25,HIP37288
HIP37349,114.9975548611111,-3.5993861111111114,2015.5,7.18,K2V    ,14.1,0.07,-0.28,HIP37349
HIP37494,115.43751249999998,49.221944444444446,2015.5,9.73,K4     ,26.7,-0.06,0.0,HIP37494
HIP37629,115.82832083333332,28.881784027777776,2015.5,4.23,K1III S,37.4,0.06,-0.23,HIP37629
HIP37766,116.16520972222222,3.549190972222222,2015.5,11.1,M4.5Ve ,5.93,-0.34,-0.45,HIP37766
HIP37826,116.32450624999998,28.025774305555554,2015.5,1.16,K0IIIva,10.3,-0.63,-0.05,HIP37826
HIP37853,116.39435138888886,-34.1606361111111,2015.5,5.36,G0V    ,15.1,-0.22,1.72,HIP37853
HIP38048,116.98557638888887,-12.191961111111112,2015.5,5.48,F5+... ,30.2,-0.1,0.08,HIP38048
HIP38082,117.07810069444443,20.361386805555558,2015.5,11.4,M2     ,14.1,1.45,-0.99,HIP38082
HIP38117,117.16419166666665,53.644763194444444,2015.5,8.86,K4V    ,26.2,-0.12,-0.53,HIP38117
HIP38228,117.47951597222222,27.362988194444448,2015.5,6.9,G5IV   ,21.8,-0.01,-0.01,HIP38228
HIP38325,117.77348055555554,54.129503472222225,2015.5,6.03,F6V    ,30.0,-0.04,0.05,HIP38325
HIP38382,117.94244513888887,-13.900068055555556,2015.5,5.16,G2V    ,16.6,-0.07,-0.34,HIP38382
HIP38423,118.06406944444443,-34.70366111111112,2015.5,5.01,F3/F5V ,18.0,-0.2,0.24,HIP38423
HIP38594,118.54339583333332,-25.301708333333334,2015.5,9.75,M      ,19.5,-0.3,0.2,HIP38594
HIP38625,118.64081597222221,-1.4126263888888888,2015.5,7.43,G8V    ,19.2,-0.25,-0.06,HIP38625
HIP38657,118.72602291666666,19.23307986111111,2015.5,7.76,K2     ,19.9,0.09,-0.45,HIP38657
HIP38712,118.88076597222222,8.862171527777777,2015.5,5.86,F2IV   ,38.1,-0.01,-0.09,HIP38712
HIP38784,119.06843333333333,80.26588402777779,2015.5,6.55,G8V    ,17.0,-0.48,0.09,HIP38784
HIP38908,119.44891944444443,-60.30224722222222,2015.5,5.59,G2V... ,16.1,0.52,0.12,HIP38908
HIP38910,119.45302638888887,-33.94992361111112,2015.5,8.83,K5V    ,18.3,0.14,0.3,HIP38910
HIP38931,119.48975555555555,-0.8141666666666667,2015.5,8.05,K5V    ,17.4,-0.16,0.0,HIP38931
HIP38939,119.52075833333332,-25.628072916666667,2015.5,8.42,K3V    ,18.2,0.36,-0.25,HIP38939
HIP38956,119.55433124999998,41.29896319444444,2015.5,12.0,M4V    ,8.16,0.21,-0.69,HIP38956
HIP39064,119.89246249999998,20.840251388888888,2015.5,7.68,K0V    ,23.1,0.18,-0.54,HIP39064
HIP39157,120.13260486111109,29.20440833333333,2015.5,6.97,G8V    ,16.8,-0.17,-1.16,HIP39157
HIP39342,120.6289222222222,-66.02170902777777,2015.5,7.18,K1V    ,17.2,-0.16,-0.13,HIP39342
HIP39494,121.09559374999998,43.961531944444445,2015.5,9.83,M0     ,25.3,0.15,-0.02,HIP39494
HIP39826,122.05297916666663,21.102642361111112,2015.5,9.41,M:     ,17.1,-0.3,-0.35,HIP39826
HIP39896,122.23479791666664,32.81824027777778,2015.5,9.9,M0.5V:e,20.7,-0.03,-0.22,HIP39896
HIP39903,122.25183888888887,-61.30424305555555,2015.5,4.74,F5V    ,21.3,-0.16,-0.3,HIP39903
HIP40035,122.66414930555553,-13.7987625,2015.5,5.53,F7V    ,22.4,-0.25,0.06,HIP40035
HIP40118,122.90773472222222,32.45263333333333,2015.5,6.78,G4V    ,21.7,-0.46,-0.64,HIP40118
HIP40239,123.28413680555555,-13.92037986111111,2015.5,9.38,M0V    ,21.6,-0.19,-0.51,HIP40239
HIP40375,123.64675416666664,13.023451388888889,2015.5,8.79,K5     ,18.3,-0.42,0.1,HIP40375
HIP40438,123.85493263888887,-52.06068194444445,2015.5,6.63,G1V    ,27.0,-0.01,-0.06,HIP40438
HIP40501,124.03077361111112,1.3029041666666668,2015.5,10.0,---    ,9.15,-0.38,0.06,HIP40501
HIP40671,124.5431138888889,30.595031944444443,2015.5,8.82,K4V    ,22.5,-0.28,-0.82,HIP40671
HIP40693,124.60146944444443,-12.638613194444444,2015.5,5.95,K0V    ,12.5,0.28,-0.99,HIP40693
HIP40702,124.63240763888889,-76.91870347222223,2015.5,4.05,F5III  ,19.4,0.11,0.11,HIP40702
HIP40706,124.63800902777777,-36.65849305555555,2015.5,4.44,A4m... ,28.5,-0.11,0.1,HIP40706
HIP40774,124.82850555555552,1.3382743055555555,2015.5,8.35,G5     ,23.3,-0.16,-0.05,HIP40774
HIP40843,125.01611527777777,27.214940277777774,2015.5,5.13,F6V    ,18.1,-0.02,-0.38,HIP40843
HIP40875,125.10915416666667,57.74312291666667,2015.5,5.89,F4V    ,31.6,0.06,0.01,HIP40875
HIP40910,125.22987777777779,14.069359722222222,2015.5,9.75,M0     ,23.4,-0.08,-0.26,HIP40910
HIP41130,125.88077083333332,21.84755,2015.5,9.52,M0     ,27.0,0.3,-0.24,HIP41130
HIP41211,126.14441875,-3.7513131944444447,2015.5,5.61,F3V    ,27.2,-0.21,-0.03,HIP41211
HIP41307,126.41452847222219,-3.906523611111111,2015.5,3.91,A0V    ,38.3,-0.07,-0.02,HIP41307
HIP41312,126.4338972222222,-66.13767708333334,2015.5,3.77,K2IIIva,33.1,-0.04,-0.15,HIP41312
HIP41484,126.90319861111107,45.65042013888889,2015.5,6.32,G5V    ,21.7,-0.02,-0.35,HIP41484
GJ1111,127.4485708333333,26.772902777777777,2015.5,14.9,M6.0V  ,3.62,-1.14,-0.6,GJ1111
HIP41689,127.4881534722222,61.72070555555556,2015.5,10.2,M0     ,19.1,0.53,-0.72,HIP41689
HIP41926,128.20710624999998,-31.49571388888889,2015.5,6.38,K0V    ,12.1,-1.11,0.76,HIP41926
HIP42074,128.63038680555556,-0.7256986111111111,2015.5,7.32,G5     ,21.7,-0.19,0.02,HIP42074
HIP42080,128.6500798611111,65.14473055555557,2015.5,5.47,A2m    ,48.4,-0.05,-0.04,HIP42080
HIP42172,128.96162430555555,6.619124305555555,2015.5,5.91,F8V    ,26.5,-0.13,-0.13,HIP42172
HIP42173,128.96294166666667,6.6219020833333335,2015.5,7.25,G5V    ,23.4,-0.12,-0.13,HIP42173
HIP42220,129.0990423611111,67.29547152777778,2015.5,9.28,M2     ,13.8,-1.07,0.07,HIP42220
HIP42333,129.45756249999997,-6.806397222222222,2015.5,6.74,G0     ,23.6,-0.3,0.04,HIP42333
HIP42418,129.7502270833333,6.953324305555555,2015.5,7.9,K0     ,25.4,-0.09,-0.29,HIP42418
HIP42438,129.79854791666665,65.02143958333333,2015.5,5.63,G1.5Vb ,14.2,-0.03,0.09,HIP42438
HIP42499,129.96092569444443,11.519131944444446,2015.5,7.61,K1V    ,18.5,-0.11,-0.5,HIP42499
HIP42697,130.52943124999996,-42.929772916666664,2015.5,8.11,K2V    ,22.3,-0.27,-0.09,HIP42697
HIP42748,130.68689861111108,9.552422916666666,2015.5,9.62,M0     ,13.3,0.22,-0.63,HIP42748
HIP42762,130.7189819444444,9.548879166666667,2015.5,11.8,M5     ,15.4,0.22,-0.62,HIP42762
HIP42806,130.82050902777777,21.468063888888885,2015.5,4.66,A1IV   ,48.5,-0.11,-0.04,HIP42806
HIP42808,130.82297916666664,-38.87993194444445,2015.5,6.58,K2V    ,11.1,-0.3,0.34,HIP42808
HIP42913,131.17603541666662,-54.70928472222222,2015.5,1.93,A1V    ,24.4,0.03,-0.1,HIP42913
HIP42940,131.29144722222222,41.667288194444446,2015.5,8.52,K3V    ,25.9,-0.28,-0.65,HIP42940
HIP43233,132.11058125000002,6.465369444444445,2015.5,10.3,M0     ,25.8,0.21,-0.44,HIP43233
HIP43534,133.00185624999997,66.13206249999999,2015.5,9.26,K5     ,16.4,0.09,0.1,HIP43534
HIP43557,133.06934375,8.061161111111112,2015.5,6.57,G0     ,24.1,0.15,-0.24,HIP43557
HIP43587,133.14586597222223,28.32900625,2015.5,5.96,G8V    ,12.5,-0.49,-0.23,HIP43587
HIP43667,133.4457361111111,35.21999097222223,2015.5,9.27,M0V:   ,25.8,-0.2,-0.29,HIP43667
HIP43726,133.57182152777776,-5.434242361111112,2015.5,6.01,G3V    ,17.0,-0.41,0.03,HIP43726
HIP43790,133.7820034722222,1.5393833333333333,2015.5,9.99,M1     ,20.0,0.05,-1.04,HIP43790
HIP43797,133.79930138888884,-54.96616180555556,2015.5,5.7,F6V    ,24.1,0.02,-0.09,HIP43797
HIP43852,133.98194861111108,36.196043749999994,2015.5,7.69,G5     ,26.1,-0.02,-0.01,HIP43852
HIP43970,134.31248749999997,15.322634722222222,2015.5,5.22,A5III  ,49.0,0.06,0.02,HIP43970
HIP44001,134.39707083333332,15.581245833333334,2015.5,5.68,F0IV   ,49.2,0.06,0.02,HIP44001
HIP44072,134.66361249999997,20.54552152777778,2015.5,9.22,M0     ,20.6,0.66,-0.17,HIP44072
HIP44075,134.68453333333335,-16.131085416666668,2015.5,5.8,F7/F8IV,21.3,0.24,0.21,HIP44075
HIP44127,134.7991194444444,48.04018472222222,2015.5,3.12,A7IV   ,14.6,-0.44,-0.22,HIP44127
HIP44143,134.84968819444444,-59.081725,2015.5,5.17,F3V    ,26.1,-0.17,0.28,HIP44143
HIP44248,135.15669930555555,41.78129583333333,2015.5,3.96,F5V    ,16.4,-0.49,-0.22,HIP44248
HIP44295,135.32204097222223,15.2634,2015.5,8.67,M0V:p..,18.3,-0.13,-0.32,HIP44295
HIP44382,135.61166666666665,-66.39650694444445,2015.5,4.0,Am     ,38.1,0.0,-0.1,HIP44382
HIP44722,136.68666180555553,-8.805252083333333,2015.5,9.5,M0     ,14.5,-0.31,0.21,HIP44722
HIP44897,137.21163680555554,33.88113611111111,2015.5,5.95,F9V    ,19.1,-0.19,-0.12,HIP44897
HIP44899,137.21869999999998,-34.84418402777778,2015.5,10.3,K7V    ,22.3,0.24,-0.25,HIP44899
HIP44901,137.2169736111111,51.60424236111111,2015.5,4.46,Am     ,29.3,-0.14,-0.03,HIP44901
HIP44955,137.37527708333334,32.81492291666667,2015.5,9.96,M2     ,21.1,-0.33,-0.63,HIP44955
HIP44984,137.44306388888884,11.563762500000001,2015.5,6.48,F2p    ,37.6,-0.04,-0.06,HIP44984
HIP45038,137.59798402777778,67.13328263888889,2015.5,4.8,F7IV-V ,20.4,0.01,-0.09,HIP45038
HIP45075,137.73025694444442,63.51320694444444,2015.5,4.67,Am     ,37.3,0.1,-0.06,HIP45075
HIP45170,138.0698305555555,14.99751736111111,2015.5,6.49,G9V    ,20.4,-0.52,0.25,HIP45170
HIP45336,138.5919909722222,2.312078472222222,2015.5,3.89,B9.5V  ,39.4,0.11,-0.31,HIP45336
HIP45343,138.58469374999996,52.68261666666666,2015.5,7.64,M0V    ,6.18,-1.53,-0.56,HIP45343
HIP120005,138.5924756944444,52.681665277777775,2015.5,7.7,K2     ,6.27,-1.55,-0.66,HIP120005
HIP45383,138.72300902777775,4.442777777777778,2015.5,7.91,K0     ,18.4,-0.11,0.0,HIP45383
HIP45493,139.0474201388889,54.02207083333334,2015.5,4.8,A5V    ,36.2,0.05,0.06,HIP45493
HIP45617,139.4732534722222,28.556842361111112,2015.5,7.2,K3V    ,17.5,0.05,-0.51,HIP45617
HIP45637,139.53647708333332,-57.76544513888889,2015.5,9.52,K7V    ,23.4,-0.09,0.47,HIP45637
HIP45688,139.71063125,36.80169166666666,2015.5,3.82,A1V    ,37.3,-0.03,-0.12,HIP45688
HIP45836,140.18229791666667,51.26684375,2015.5,6.14,F3V    ,29.0,-0.03,0.15,HIP45836
HIP45839,140.18215833333332,-5.754697222222222,2015.5,9.1,K2     ,24.1,-0.36,-0.12,HIP45839
HIP45908,140.4010083333333,-60.28073194444444,2015.5,9.49,M0V    ,10.4,-0.84,0.18,HIP45908
HIP45963,140.60562638888888,40.19840833333333,2015.5,7.69,K2V    ,24.2,-0.34,-0.36,HIP45963
HIP46199,141.29345069444443,46.09819027777778,2015.5,9.09,K0     ,25.7,-0.23,0.02,HIP46199
HIP46343,141.71889236111107,75.93349305555556,2015.5,9.02,K2     ,20.0,-0.35,-0.1,HIP46343
HIP46417,141.98423402777777,80.57703611111111,2015.5,9.27,K8     ,22.9,0.01,-0.44,HIP46417
HIP46509,142.28775694444442,-2.7688888888888887,2015.5,4.59,F6V    ,17.0,0.1,0.0,HIP46509
HIP46549,142.3926,-5.372297916666667,2015.5,9.74,M0:    ,23.5,-0.48,0.03,HIP46549
HIP46580,142.47496527777773,5.6557409722222225,2015.5,7.2,K3V    ,12.6,-0.5,0.11,HIP46580
HIP46626,142.61661180555552,-32.10117777777778,2015.5,8.31,K3/K4V ,19.3,-0.07,0.32,HIP46626
HIP46651,142.6739895833333,-40.46632986111111,2015.5,3.6,F2IV   ,18.5,-0.15,0.05,HIP46651
HIP46706,142.83568333333335,-13.488274305555555,2015.5,10.0,M2     ,10.5,0.72,0.05,HIP46706
HIP46733,142.88282430555554,63.061868749999995,2015.5,3.65,F0IV   ,23.1,0.11,0.03,HIP46733
HIP46769,142.98316874999998,36.316497222222225,2015.5,10.1,M0     ,13.5,-0.21,-0.52,HIP46769
HIP46816,143.10498263888888,-11.184175,2015.5,7.82,K0     ,18.3,-0.25,0.04,HIP46816
HIP46843,143.18148958333333,26.986649305555556,2015.5,7.05,K0     ,17.7,-0.15,-0.25,HIP46843
HIP46853,143.20776736111108,51.673584722222216,2015.5,3.17,F6IV   ,13.4,-0.95,-0.54,HIP46853
HIP47080,143.90966597222223,35.808248611111104,2015.5,5.4,G8IV-V ,11.1,-0.73,-0.26,HIP47080
HIP47103,144.00760972222218,-21.667224305555553,2015.5,10.9,K      ,8.97,0.14,-0.99,HIP47103
HIP47175,144.20537430555555,-49.35473055555556,2015.5,4.34,A5V    ,32.9,-0.13,0.04,HIP47175
HIP47201,144.29607291666665,22.692676388888888,2015.5,9.43,M0V:   ,21.9,-0.15,-0.18,HIP47201
HIP47300,144.5907659722222,40.239789583333334,2015.5,5.28,F0V    ,38.3,-0.01,0.01,HIP47300
HIP47425,144.93976319444442,-41.065075,2015.5,10.7,M:     ,9.49,-0.53,0.36,HIP47425
HIP47513,145.2888875,13.208501388888887,2015.5,10.3,M2     ,11.3,-0.66,-0.14,HIP47513
HIP47592,145.55730555555553,-23.913804166666665,2015.5,4.93,G0V    ,14.8,-0.4,0.26,HIP47592
HIP47690,145.85728541666666,42.685797916666665,2015.5,8.13,K5V    ,17.7,0.03,-0.83,HIP47690
HIP47701,145.88861527777777,29.973770833333333,2015.5,5.64,A2IV   ,48.8,-0.02,-0.1,HIP47701
HIP47741,145.9777597222222,26.968215277777777,2015.5,12.0,M:     ,14.1,-0.58,-0.1,HIP47741
HIP47780,146.1210006944444,-45.78036319444445,2015.5,10.2,M1:    ,9.81,-0.47,-0.59,HIP47780
HIP48331,147.78268194444442,-43.50594375,2015.5,7.67,K5V    ,11.1,0.46,-0.47,HIP48331
HIP48336,147.79767916666663,-12.339556944444444,2015.5,10.0,M0     ,13.6,1.14,-1.46,HIP48336
HIP48390,147.97096805555552,24.39413263888889,2015.5,5.29,A5IV   ,40.1,0.02,-0.17,HIP48390
HIP48411,148.0446034722222,3.221801388888889,2015.5,8.86,K5     ,20.9,-0.43,0.02,HIP48411
HIP48477,148.2984930555555,-3.6930986111111115,2015.5,10.5,M0     ,15.6,-0.1,-0.46,HIP48477
HIP48659,148.84890972222217,-27.26212152777778,2015.5,12.0,---    ,11.4,-0.1,-0.15,HIP48659
HIP48714,149.03422916666665,62.78442638888889,2015.5,8.99,M2     ,10.4,-0.3,-0.58,HIP48714
HIP48833,149.42002499999995,41.055353472222215,2015.5,5.11,F6Vs   ,28.8,-0.12,-0.03,HIP48833
HIP48904,149.64614999999998,-46.42823333333333,2015.5,11.2,M5     ,15.9,0.48,-0.48,HIP48904
HIP48926,149.71731041666663,-35.890968055555554,2015.5,5.23,A8IV   ,32.6,-0.09,-0.02,HIP48926
HIP49081,150.2493465277778,31.920714583333332,2015.5,5.37,G1V    ,14.8,-0.53,-0.43,HIP49081
HIP49127,150.4037326388889,-15.424520138888889,2015.5,8.65,K3V    ,26.1,-0.25,0.03,HIP49127
HIP49197,150.61603055555554,44.577727083333336,2015.5,9.09,K0     ,27.7,-0.28,-0.09,HIP49197
HIP49366,151.15580347222223,-11.729646527777778,2015.5,8.15,K0     ,23.1,-0.19,-0.03,HIP49366
HIP49544,151.73667916666665,2.963493055555556,2015.5,9.95,M0     ,22.3,-0.06,-0.1,HIP49544
HIP49593,151.85783680555554,35.24444444444445,2015.5,4.49,A7V    ,27.9,0.05,0.0,HIP49593
HIP49669,152.09123263888887,11.966944444444444,2015.5,1.36,B7V    ,23.7,-0.25,0.0,HIP49669
HIP49699,152.17917916666664,34.241818055555555,2015.5,7.56,K0     ,18.0,-0.06,-0.06,HIP49699
HIP49809,152.52377499999997,-12.816574305555555,2015.5,5.3,F2/F3IV,27.3,-0.12,-0.11,HIP49809
HIP49841,152.6457361111111,-12.3545625,2015.5,3.61,K0III  ,35.1,-0.2,-0.1,HIP49841
HIP49868,152.7452319444444,75.1428625,2015.5,9.48,M0     ,21.2,0.22,0.26,HIP49868
GJ380,152.83292222222224,49.450520833333336,2015.5,6.59,K7.0V  ,4.86,-1.36,-0.5,GJ380
HIP49969,153.0230861111111,-2.6887638888888894,2015.5,10.6,M0     ,12.3,0.52,-0.6,HIP49969
HIP49973,153.03079861111107,-18.617979861111113,2015.5,9.93,K7V    ,17.0,-0.5,-0.03,HIP49973
HIP49986,153.0727395833333,-3.7471722222222223,2015.5,9.26,M3     ,7.81,-0.15,-0.24,HIP49986
HIP50070,153.34473055555554,-51.23284513888889,2015.5,5.27,A7V    ,49.8,-0.04,-0.01,HIP50070
HIP50075,153.35042430555552,-33.0312625,2015.5,6.38,G0V    ,22.7,-0.37,0.06,HIP50075
HIP50125,153.48977291666665,52.50154722222222,2015.5,9.53,K5     ,22.8,0.09,-0.76,HIP50125
HIP50191,153.68315624999997,-42.121329861111114,2015.5,3.85,A2V    ,31.5,-0.15,0.05,HIP50191
HIP50341,154.1888375,-11.965708333333332,2015.5,10.9,M0     ,13.7,-0.42,-0.6,HIP50341
HIP50372,154.27302152777776,42.913897222222225,2015.5,3.45,A2IV   ,41.2,-0.17,-0.04,HIP50372
HIP50384,154.30765486111108,23.1054375,2015.5,5.81,F8Vw   ,22.7,-0.41,-0.1,HIP50384
HIP50485,154.63585833333332,43.04779444444444,2015.5,6.48,G5     ,35.6,-0.12,-0.08,HIP50485
HIP50505,154.71707083333334,44.046034722222224,2015.5,6.66,G5     ,20.6,0.06,-0.3,HIP50505
GJ388,154.89829861111107,19.868829861111113,2015.5,9.29,M2.5V  ,4.88,-0.5,-0.05,GJ388
HIP50564,154.93261736111108,19.46941875,2015.5,4.78,F6IV   ,21.1,-0.23,-0.21,HIP50564
HIP50583,154.99542152777775,19.84037847222222,2015.5,2.01,K0III  ,38.5,0.31,-0.15,HIP50583
HIP50782,155.53971805555554,11.307844444444445,2015.5,7.78,G5     ,26.8,0.02,-0.32,HIP50782
HIP50888,155.87100555555554,-38.01005902777778,2015.5,5.34,A8V    ,40.4,-0.16,-0.05,HIP50888
HIP50921,155.9801472222222,-29.644604166666667,2015.5,6.92,G5V    ,22.0,-0.04,0.1,HIP50921
HIP50944,156.06396944444444,10.404149305555556,2015.5,9.98,K4.5   ,27.2,0.28,-0.25,HIP50944
HIP50954,156.09861527777778,-74.03159097222222,2015.5,3.99,F2IV   ,16.2,-0.02,-0.03,HIP50954
HIP51007,156.29035208333332,10.229419444444444,2015.5,10.1,M0     ,12.4,-0.69,0.12,HIP51007
HIP51138,156.6963798611111,-62.904857638888885,2015.5,9.5,K5     ,27.0,-0.29,-0.35,HIP51138
HIP51248,157.01678888888887,48.77879444444444,2015.5,6.42,G1V    ,23.5,0.08,-0.88,HIP51248
HIP51254,157.04353541666663,6.737222916666667,2015.5,8.53,K0     ,25.1,0.03,0.33,HIP51254
HIP51271,157.09811875,-51.70520208333334,2015.5,8.9,K4V    ,24.2,0.03,-0.03,HIP51271
HIP51317,157.22720833333332,0.8359159722222222,2015.5,9.65,M2     ,7.23,-0.6,-0.73,HIP51317
HIP51384,157.4220409722222,84.251675,2015.5,5.52,F0IV   ,40.7,-0.13,-0.04,HIP51384
HIP51459,157.65545416666663,55.980075694444444,2015.5,4.82,F8V    ,12.8,-0.18,-0.03,HIP51459
HIP51468,157.6928694444444,59.748879861111114,2015.5,8.74,K5     ,22.3,-0.44,-0.29,HIP51468
HIP51502,157.76904444444443,82.55846805555557,2015.5,5.25,F2V    ,21.4,-0.08,0.02,HIP51502
HIP51525,157.84699375,45.52185902777777,2015.5,8.85,K7V    ,15.6,-0.57,-0.59,HIP51525
