,Source Name,Association,RA,Dec,Gal l,Gal b,Flux 1-100 GeV(photons cm-2s-1),+/-,Spectral Index,+/-.1,Variability Index,Classification,Light Curve(Likelihood),Spectrum,DataAccess
76,3FGL J1018.2-6254,,154.559,-62.9049,286.47,-5.03834,4.80865e-10,1.02085e-10,2.56774,0.121253,33.8016,Unassociated,Link,Link,Link
77,3FGL J1024.4-4545,,156.104,-45.7517,277.859,9.84103,3.05341e-10,9.04409e-11,1.96419,0.204,38.7732,Unassociated,Link,Link,Link
78,3FGL J1028.3-7419,,157.089,-74.3271,293.561,-14.1202,2.92116e-10,8.51388e-11,2.69005,0.161413,34.4225,Unassociated,Link,Link,Link
79,3FGL J1048.8-5006,,162.206,-50.1061,283.645,8.11742,4.24785e-10,9.92413e-11,2.29859,0.166874,38.7293,Unassociated,Link,Link,Link
80,3FGL J1052.0+0816,,163.018,8.281,241.059,56.0582,2.7224e-10,6.79262e-11,2.22353,0.163136,36.6082,Unassociated,Link,Link,Link
81,3FGL J1057.6-4051,,164.409,-40.8616,280.791,17.0665,2.47478e-10,7.95171e-11,1.75663,0.220058,37.8729,Unassociated,Link,Link,Link
82,3FGL J1057.7-6624,,164.436,-66.4034,291.887,-6.001,8.90124e-10,1.2065e-10,2.45956,0.100221,29.8981,Unassociated,Link,Link,Link
83,3FGL J1105.7+4427,,166.427,44.4563,166.686,62.6486,2.18623e-10,5.2678e-11,2.40569,0.168539,28.5201,Unassociated,Link,Link,Link
84,3FGL J1106.6-1744,,166.661,-17.7399,270.465,38.437,3.54536e-10,7.922e-11,2.03226,0.129032,37.9151,Unassociated,Link,Link,Link
85,3FGL J1123.6-4558,,170.915,-45.9683,287.388,14.2374,3.68057e-10,8.92135e-11,2.19412,0.144536,32.0083,Unassociated,Link,Link,Link
86,3FGL J1125.1-5803,,171.295,-58.0638,291.707,2.91554,4.16875e-10,1.59864e-10,1.87707,0.237234,37.8354,Unassociated,Link,Link,Link
87,3FGL J1128.6-5434,,172.161,-54.5792,291.037,6.36918,1.45719e-10,7.10291e-11,2.55541,0.228726,38.9745,Unassociated,Link,Link,Link
88,3FGL J1132.0-4736,,173.012,-47.602,289.335,13.1627,4.04111e-10,8.33727e-11,2.11377,0.141116,31.8725,Unassociated,Link,Link,Link
89,3FGL J1146.1-0640,,176.547,-6.683,275.534,52.6828,3.39959e-10,8.01576e-11,1.92085,0.171866,33.6355,Unassociated,Link,Link,Link
90,3FGL J1150.7-4816,,177.692,-48.283,292.623,13.3706,2.90827e-10,7.42247e-11,2.32959,0.153843,33.0158,Unassociated,Link,Link,Link
91,3FGL J1155.3-1112,,178.827,-11.2029,281.53,49.3222,1.77951e-10,5.94518e-11,1.53449,0.195411,34.7216,Unassociated,Link,Link,Link
92,3FGL J1208.0-6901,,182.01,-69.0258,299.044,-6.48232,5.18759e-10,1.01699e-10,2.48382,0.114569,38.1109,Unassociated,Link,Link,Link
93,3FGL J1214.4-2315,,183.602,-23.2625,291.998,38.8218,4.09189e-10,8.45371e-11,2.38258,0.154408,37.7795,Unassociated,Link,Link,Link
94,3FGL J1215.9-1926,,183.992,-19.4354,291.534,42.65,3.19435e-10,7.86727e-11,2.41429,0.172002,33.2294,Unassociated,Link,Link,Link
95,3FGL J1223.2+1215,,185.804,12.2618,277.57,73.7279,3.1699e-10,7.39686e-11,2.21314,0.158859,39.2903,Unassociated,Link,Link,Link
