NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC
J1901+0234,J1901+0234,19:01:26.9,+02:34:51.4,*,*,*,56700.00,286.995,25.118,*,*,36.37,-1.048,285.362208,2.580944,0.885240,1.129637,-2.939e-14,*,*,56700.00,404.00,*,*,20.400,*,TDB,*,*,0.14,*,*,*,*,*,*,*,*,*,*,*,*,*,7.53,7.53,-7.39,-0.14,4.46,2.44,*,palfa,000002000000,2015,*,*,*,7.94e+00,6.09e+05,4.57e+12,1.31e+33,2.31e+31,*,*,*,*,*,6.18e+01
J1901+0254,J1901+0254,19:01:15.6,+02:54:41,*,*,*,52626.00,286.986,25.452,*,*,36.643,-0.855,285.315292,2.911389,1.299693,0.769412,-2.700e-16,*,*,52626.00,185.00,*,-121.70,70.000,*,TDB,*,*,0.58,*,*,*,*,*,*,*,*,*,*,*,*,*,4.30,4.30,-2.76,-0.06,2.57,5.05,*,"pksmb,palfa",000002040000,2004,*,*,*,1.07e+01,4.52e+07,7.79e+11,8.20e+30,4.44e+29,*,*,*,*,*,3.33e+00
J1901+0300,J1901+0300,19:01:59.6,+03:00:23.3,*,*,*,56242.00,287.2,25.525,*,*,36.811,-0.974,285.498403,3.006479,0.007797,128.258137,-7.520e-16,*,*,56242.00,253.89,*,*,*,*,TDB,*,*,0.11,*,ELL1,*,2.3992,1.8426,82.41,3.027e-06,55989.5556,3.000e-06,4.000e-07,0.1372,0.1600,He,5.29,5.29,-4.32,-0.09,3.17,4.27,*,palfa,000002000000,2015,*,*,*,3.16e+00,2.70e+09,6.04e+08,3.81e+33,1.36e+32,*,*,*,*,*,1.19e+04
J1901-0312,J1901-0312,19:01:15.6,-03:12:29.5,*,*,*,52608.00,286.233,19.372,*,*,31.192,-3.646,285.315312,-3.208194,0.355725,2.811159,-1.811e-14,*,*,52608.00,106.40,*,228.00,7.900,*,TDB,*,*,0.23,*,*,*,*,*,*,*,*,*,*,*,*,*,3.77,3.77,-6.77,-0.24,1.95,5.28,*,pksmb,000000040000,2004,*,*,*,3.27e+00,2.46e+06,9.14e+11,2.01e+33,1.41e+32,*,*,*,*,*,1.90e+02
J1901-0315,J1901-0315,19:01:16.3,-03:15:14.3,*,*,*,53283.00,286.23,19.326,*,*,31.152,-3.669,285.318042,-3.253972,0.801693,1.247360,-4.000e-15,*,*,53283.00,242.60,*,*,10.000,*,TDB,*,*,0.09,*,*,*,*,*,*,*,*,*,*,*,*,*,8.45,8.45,-15.53,-0.54,4.36,1.28,*,pksmb,000000040000,2006,*,*,*,6.43e+00,4.94e+06,1.45e+12,1.97e+32,2.76e+30,*,*,*,*,*,2.64e+01
J1901+0320,J1901+0320,19:01:03.0,+03:20:18,*,*,*,52503.00,286.983,25.882,*,*,36.999,-0.613,285.262542,3.338333,0.636584,1.570883,-1.290e-15,*,*,52503.00,393.00,*,*,47.200,*,TDB,*,*,0.89,*,*,*,*,*,*,*,*,*,*,*,*,*,5.88,5.88,-4.21,-0.06,3.54,3.8,*,"pksmb,palfa",000002040000,2004,*,*,*,3.08e+01,1.93e+07,5.84e+11,8.00e+31,2.31e+30,*,*,*,*,*,2.12e+01
B1859+03,J1901+0331,19:01:31.7,+03:31:05.9,-7.000,34.000,*,54336.00,287.139,26.047,*,*,37.213,-0.637,285.382421,3.518325,0.655450,1.525669,-1.736e-14,3.240e-25,*,50027.00,402.08,*,-237.40,11.000,36.000,TDB,0.00,165.00,4.20,*,*,*,*,*,*,*,*,*,*,*,*,*,7.00,6.06,-4.47,-0.08,4.23,2.93,*,"jb1,ar1,mol2,jb2,gb3,pksmb,palfa",000002040316,1970,*,*,8.08e+03,2.06e+02,1.39e+06,2.24e+12,1.05e+33,2.13e+31,34.713,1152.016,7.45e-15,1.39e+06,2.24e+12,7.45e+01
J1901+0355,J1901+0355,19:01:30.8,+03:55:58.9,*,*,*,52352.00,287.189,26.459,*,*,37.58,-0.444,285.378375,3.933028,0.554756,1.802593,-4.140e-14,*,*,52352.00,547.00,*,*,12.000,*,TDB,*,*,0.15,*,*,*,*,*,*,*,*,*,*,*,*,*,6.67,6.67,-4.24,-0.05,4.07,3.21,*,"pksmb,palfa",000002040000,2004,*,*,*,6.67e+00,6.90e+05,2.69e+12,2.95e+33,6.62e+31,*,*,*,*,*,1.48e+02
J1901+0413,J1901+0413,19:01:10.3,+04:13:51,*,*,*,51706.00,287.133,26.765,*,*,37.806,-0.232,285.292917,4.230833,2.663080,0.375505,-1.856e-14,*,*,51706.00,352.00,*,213.60,83.500,*,TDB,*,*,1.10,*,*,*,*,*,*,*,*,*,*,*,*,*,5.34,5.34,-1.42,-0.02,3.27,4.28,*,"pksmb,palfa",000002040000,2002,*,*,*,3.14e+01,3.21e+05,1.89e+13,2.75e+32,9.65e+30,*,*,*,*,*,9.40e+00
J1901+0435,J1901+0435,19:01:32.2,+04:35:23,*,*,*,53041.00,287.282,27.111,*,*,38.167,-0.148,285.384167,4.589722,0.690576,1.448066,-1.819e-14,*,*,53041.00,1042.60,*,*,*,*,TDB,*,*,4.24,*,*,*,*,*,*,*,*,*,*,*,*,*,10.32,10.32,-2.70,-0.03,6.38,0.39,*,"pksmb,palfa",000002040000,2006,*,*,*,4.52e+02,1.26e+06,2.48e+12,1.04e+33,9.76e+30,*,*,*,*,*,7.05e+01
J1901+0459,J1901+0459,19:01:17.4,+04:59:06.8,*,*,*,56700.00,287.267,27.511,*,*,38.49,0.087,285.322792,4.985222,0.877044,1.140194,-2.039e-14,*,*,56700.00,1108.00,*,*,28.000,*,TDB,*,*,0.12,*,*,*,*,*,*,*,*,*,*,*,*,*,12.07,12.07,1.68,0.02,7.51,-0.95,*,palfa,000002000000,2015,*,*,*,1.75e+01,8.86e+05,3.75e+12,9.18e+32,6.30e+30,*,*,*,*,*,5.22e+01
J1901+0510,J1901+0510,19:01:57.8,+05:10:34,*,*,*,52618.00,287.48,27.68,*,*,38.737,0.025,285.491042,5.176111,0.614757,1.626660,-8.229e-14,*,*,52618.00,429.00,*,1275.00,56.860,*,TDB,0.00,*,0.66,*,*,*,*,*,*,*,*,*,*,*,*,*,5.92,5.92,0.19,0.0,3.7,3.88,*,"pksmb,palfa",000002040000,2004,*,*,*,2.31e+01,3.13e+05,4.42e+12,5.28e+33,1.51e+32,*,*,*,*,*,1.79e+02
J1901+0511,J1901+0511,19:01:42.9,+05:11:00.2,*,*,*,56700.00,287.412,27.695,*,*,38.715,0.084,285.428792,5.183389,4.600369,0.217374,-1.197e-15,*,*,56700.00,410.00,*,*,23.500,*,TDB,*,*,0.05,*,*,*,*,*,*,*,*,*,*,*,*,*,5.83,5.83,0.60,0.01,3.65,3.95,*,palfa,000002000000,2017,*,*,*,1.70e+00,2.88e+06,1.09e+13,1.03e+31,3.02e+29,*,*,*,*,*,1.05e+00
J1901+0621,J1901+0621,19:01:05.9,+06:21:19,*,*,*,52282.00,287.398,28.877,*,*,39.687,0.756,285.274833,6.355278,0.832002,1.201920,-2.600e-17,*,*,52282.00,94.00,*,-229.00,53.000,*,TDB,*,*,0.47,*,*,*,*,*,*,*,*,*,*,*,*,*,2.94,2.94,1.24,0.04,1.88,6.24,*,"palfa,pksmb",000002040000,2006,*,*,*,4.06e+00,7.32e+08,1.24e+11,1.23e+30,1.43e+29,*,*,*,*,*,2.02e+00
B1859+07,J1901+0716,19:01:38.9,+07:16:34.8,*,*,*,49863.00,287.681,29.775,*,*,40.569,1.056,285.412236,7.276335,0.643999,1.552798,-5.515e-15,3.560e-25,*,49863.00,252.81,*,282.00,11.000,34.000,TDB,0.00,3.90,0.90,*,*,*,*,*,*,*,*,*,*,*,*,*,3.40,7.27,4.66,0.06,2.21,5.92,*,"jb2,pksmb,palfa",000002040100,1987,*,1,4.51e+01,1.04e+01,4.46e+06,1.23e+12,3.38e+32,2.92e+31,*,*,*,*,*,4.31e+01
J1901-0906,J1901-0906,19:01:53.0,-09:06:10.8,*,*,*,50873.00,285.716,13.496,*,*,25.979,-6.441,285.470896,-9.103002,1.781928,0.561190,-5.160e-16,1.300e-27,*,50873.00,72.68,*,29.00,13.000,69.000,TDB,*,11.00,3.10,*,*,*,*,*,*,*,*,*,*,*,*,*,2.89,2.89,-8.15,-0.32,1.26,5.92,*,"pks70,pkssw,htru_pks",000010104000,1998,*,*,9.19e+01,2.59e+01,1.72e+07,1.73e+12,1.14e+31,1.37e+30,*,*,*,*,*,2.86e+00
J1902+0248,J1902+0248,19:02:50.2,+02:48:56,*,*,*,52554.00,287.406,25.311,*,*,36.738,-1.249,285.709417,2.815556,1.223777,0.817142,-1.606e-15,*,*,52554.00,272.00,*,*,35.403,*,TDB,*,*,0.17,*,*,*,*,*,*,*,*,*,*,*,*,*,5.99,5.99,-5.93,-0.13,3.58,3.7,*,"pksmb,palfa",000002040000,2004,*,*,*,6.10e+00,8.06e+06,1.74e+12,5.18e+31,1.44e+30,*,*,*,*,*,8.88e+00
J1902-0340,J1902-0340,19:02:50.7,-03:40:18,*,*,*,52724.00,286.593,18.867,*,*,30.958,-4.209,285.71125,-3.671667,1.524672,0.655879,-8.600e-16,*,*,52724.00,114.00,*,241.10,25.000,*,TDB,*,*,0.22,*,*,*,*,*,*,*,*,*,*,*,*,*,4.05,4.05,-8.37,-0.3,2.08,5.04,*,pksmb,000000040000,2004,*,*,*,3.61e+00,1.21e+07,1.77e+12,2.23e+31,1.36e+30,*,*,*,*,*,4.67e+00
B1900+05,J1902+0556,19:02:42.6,+05:56:25.9,*,*,*,49722.00,287.794,28.417,-8.000,*,39.501,0.21,285.677585,5.940533,0.746577,1.339446,-2.310e-14,5.290e-26,*,49722.00,177.49,*,-113.00,11.000,29.000,TDB,0.00,15.00,1.20,*,*,*,*,*,*,*,*,*,*,*,*,*,3.60,4.20,0.65,0.01,2.29,5.72,*,"ar1,jb2,ar4,pksmb,palfa",000002060104,1974,*,*,1.94e+02,1.56e+01,9.19e+05,3.14e+12,1.22e+33,9.43e+31,*,*,*,*,*,7.07e+01
B1900+06,J1902+0615,19:02:50.2,+06:16:33.4,*,*,*,53390.00,287.877,28.746,-4.000,-7.000,39.814,0.336,285.709488,6.275947,0.673503,1.484774,-1.700e-14,-2.150e-26,*,54400.00,502.90,*,552.60,24.000,136.800,TDB,0.00,22.00,1.10,*,*,*,*,*,*,*,*,*,*,*,*,*,7.00,7.19,2.95,0.04,4.48,3.12,*,"jb2,pksmb,palfa",000002040100,1981,*,5,1.08e+03,5.39e+01,1.38e+06,2.31e+12,9.97e+32,2.03e+31,8.062,267.560,7.71e-15,1.38e+06,2.31e+12,7.08e+01
J1902+0723,J1902+0723,19:02:13.5,+07:23:51,*,*,*,49079.50,287.862,29.877,*,*,40.742,0.984,285.556417,7.3975,0.487813,2.049967,-8.825e-16,*,*,49079.50,105.00,*,-272.00,29.000,56.000,TDB,*,0.60,0.17,*,*,*,*,*,*,*,*,*,*,*,*,*,3.33,3.33,1.80,0.06,2.17,5.98,*,"ar3,pksmb",000000042000,1995,*,*,6.65e+00,1.89e+00,3.68e+07,3.24e+11,7.14e+31,6.44e+30,*,*,*,*,*,2.62e+01
B1900+01,J1903+0135,19:03:29.9,+01:35:38.3,3.000,-13.000,*,54379.00,287.427,24.078,*,*,35.727,-1.955,285.874928,1.593992,0.729306,1.371167,-7.585e-15,*,*,54379.00,245.17,*,72.30,9.900,23.000,TDB,0.00,58.00,5.50,*,*,*,*,*,*,*,*,*,*,*,*,*,3.30,6.01,-8.36,-0.11,1.93,5.82,*,"jb1,mol2,pksmb,gb4,palfa",000002050012,1973,*,*,6.32e+02,5.99e+01,2.86e+06,1.74e+12,4.11e+32,3.77e+31,13.342,208.733,4.03e-15,2.86e+06,1.74e+12,4.19e+01
J1903-0258,J1903-0258,19:03:30.3,-02:58:15.6,*,*,*,53095.00,286.852,19.544,*,*,31.659,-4.038,285.876429,-2.971,0.301459,3.317203,-7.473e-15,*,*,53095.00,113.00,*,*,4.800,*,TDB,*,*,0.14,*,*,*,*,*,*,*,*,*,*,*,*,*,4.04,4.04,-7.96,-0.28,2.12,5.07,*,pksmb,000000040000,2006,*,*,*,2.29e+00,7.03e+06,4.58e+11,9.79e+32,6.00e+31,*,*,*,*,*,1.57e+02
J1903+0601,J1903+0601,19:03:20.8,+06:01:34.0,*,*,*,52146.00,287.985,28.482,*,*,39.65,0.109,285.836975,6.026111,0.374117,2.672960,-1.372e-13,*,*,52146.00,388.00,*,176.20,12.000,*,TDB,0.01,*,0.26,*,*,*,*,*,*,*,*,*,*,*,*,*,5.89,5.89,0.74,0.01,3.76,3.96,*,"pksmb,palfa",000002040000,2004,*,*,*,9.02e+00,3.09e+05,2.71e+12,1.45e+34,4.17e+32,*,*,*,*,*,4.86e+02
J1903+0654,J1903+0654,19:03:55.2,+06:54:39.4,*,*,*,56700.00,288.272,29.342,*,*,40.502,0.388,285.980333,6.910944,0.791232,1.263851,-1.692e-14,*,*,56700.00,329.00,*,*,56.200,*,TDB,*,*,0.11,*,*,*,*,*,*,*,*,*,*,*,*,*,5.93,5.93,2.23,0.04,3.85,3.99,*,palfa,000002000000,2017,*,*,*,3.87e+00,1.18e+06,2.93e+12,8.44e+32,2.40e+31,*,*,*,*,*,5.55e+01
J1903+0925,J1903+0925,19:03:55.1,+09:25:55,*,*,*,53396.00,288.644,31.843,*,*,42.743,1.543,285.979917,9.431944,0.357155,2.799906,-2.893e-13,*,*,53396.00,162.00,*,*,*,*,TDB,*,*,0.20,*,*,*,*,*,*,*,*,*,*,*,*,*,6.25,6.25,4.36,0.17,4.24,3.91,*,pksmb,000000040000,2006,*,*,*,7.81e+00,1.53e+05,3.67e+12,3.20e+34,8.19e+32,*,*,*,*,*,7.56e+02
J1904+0004,J1904+0004,19:04:12.7,+00:04:05.2,8.000,-7.000,*,54377.00,287.422,22.542,*,*,34.45,-2.811,286.052992,0.068136,0.139525,7.167191,-6.064e-15,*,*,54377.00,233.61,*,289.00,7.800,22.000,TDB,0.00,16.00,2.10,*,*,*,*,*,*,*,*,*,*,*,*,*,6.36,6.36,-11.46,-0.31,3.59,3.26,*,"pks70,pksmb",000000044000,1996,*,*,6.47e+02,8.49e+01,1.87e+07,1.30e+11,1.72e+33,4.24e+31,10.630,320.526,1.18e-16,1.88e+07,1.30e+11,4.48e+02
J1904-0150,J1904-0150,19:04:55.5,-01:50:32.5,*,*,*,53107.00,287.368,20.624,*,*,32.828,-3.841,286.231479,-1.842361,0.379387,2.635830,-6.182e-15,*,*,53107.00,162.20,*,*,5.600,*,TDB,*,*,0.09,*,*,*,*,*,*,*,*,*,*,*,*,*,5.30,5.30,-10.86,-0.35,2.87,4.06,*,pksmb,000000040000,2006,*,*,*,2.53e+00,6.76e+06,5.88e+11,6.43e+32,2.29e+31,*,*,*,*,*,1.01e+02
