source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
5057482595592539520,154125741,2015.5,53.28940695730568,0.09939504972034935,-28.009577810648768,0.15823897647177879,1.2116446581540123,0.19969853089632672,6.067369,5.310507372455957,0.24887820577026143,-17.26666239504193,0.3489438432125517,583,596.3601,0.0,0.0,18,600,577.2520120025005,0.8162245711788484,707.22205,18.784952,19.661083,17.795328,1.8657551,0.87613106,0.989624,,,223.95338552390265,-54.31595755947903,41.233390930564994,-45.43052484921542,,,,,,,,,,,,,
5057434972995111552,922844085,2015.5,53.40444670680964,0.189376314296792,-28.081030092317615,0.30269263811089087,1.8191704253737895,0.364068313974247,4.9967833,26.009658774234474,0.4658325372820793,-6.190459550708858,0.6858013890073058,480,569.61096,0.9415968593491201,2.0391501093680846,18,507,262.4045341823406,0.6139782466995414,427.3841,19.640938,20.86259,18.428938,2.4336529,1.221653,1.2119999,,,224.09953456134363,-54.225788836154756,41.335127790756424,-45.53214077697526,,,,,,,,,,,,,
5057477957027796864,1664943208,2015.5,52.96704482279285,0.09233701907478933,-28.105931430294422,0.16754841442357152,0.414371698518137,0.21206881206679867,1.9539492,8.946064385413365,0.23579096712813907,6.252952440275446,0.41600842045401143,635,645.68976,0.0,0.0,19,668,632.9408462915942,0.7733653942855777,818.4241,18.684958,19.458591,17.811493,1.6470985,0.77363396,0.8734646,,,224.0475896984025,-54.61127560820246,40.8055147750982,-45.424388873009306,,,,,,,,,,,,,
5057434801196420992,1450104706,2015.5,53.480683959351786,0.06227472960313078,-28.07940174535535,0.11427959585420883,0.3760444511656262,0.12520317889863133,3.0034738,5.740361803478286,0.15855935544557703,1.263368805765615,0.2680603645093591,519,537.6418,0.0,0.0,17,566,1225.179939772382,1.0921225751945038,1121.8337,17.967867,18.51044,17.291004,1.2194366,0.5425739,0.6768627,,,224.1133165095326,-54.15899071733799,41.426290955643964,-45.553362618264444,,,,,,,,,,,,,
5057407210326358912,564868971,2015.5,53.29169265105389,0.17003346485622461,-28.477735816991405,0.26406444671304524,2.7226188408207057,0.3570139314677385,7.6260858,41.88341694025326,0.4036073801806423,-3.540323679940921,0.6010217385494288,444,662.4738,1.3813022272181887,6.146088903212959,18,474,399.3131492575669,0.9336878511090353,427.67307,19.185081,21.054092,17.8093,3.244793,1.8690109,1.375782,,,224.749253731489,-54.379113117119466,41.008286898823044,-45.87145144272075,,,,,,,,,,,,,
5057501046772168960,1282119949,2015.5,53.18350124362315,0.11210115799122466,-27.80683976288615,0.20808163194691548,-0.2879103117414516,0.2572733129049053,-1.1190835,5.837544208258624,0.28859962319937854,-3.156255909861271,0.44970961767515055,737,747.909,0.0,0.0,19,762,417.26907678690566,0.6337941552779969,658.3669,19.137325,19.36733,18.716295,0.6510353,0.23000526,0.42103004,,,223.58574575730748,-54.37875198442722,41.20577585593178,-45.20807372140532,,,,,,,,,,,,,
5057329870852126208,122448793,2015.5,53.150121081419776,0.03059992091495595,-28.373818868875613,0.04771742835383059,1.1868588192197587,0.06237087559148968,19.029055,8.45031511411815,0.07630495721178289,-6.8685735854323955,0.1124399334878352,458,447.63095,0.0,0.0,19,503,4027.619960659256,1.7792882394710339,2263.613,16.675745,17.382925,15.869956,1.512969,0.70718,0.805789,,,224.5434368649688,-54.48851508932063,40.89136460469197,-45.73125343229666,100001,4385.0,4325.1,4442.0,0.4135,0.254,0.5551,0.6760708,0.6588314,0.6949268,0.15225007,0.13515842,0.16934171
5057495519150126336,30612198,2015.5,52.78286078545343,26.88292804055189,-27.941200342501602,7.762147011711178,,,,,,,,39,69.76211,11.13718568379832,4.250909124043249,3,42,48.23154591938366,1.2986094167847604,37.14092,21.480038,,,,,,,,223.72553542529198,-54.748766879040865,40.66817112024613,-45.21404377123282,,,,,,,,,,,,,
5057489639338844032,878535968,2015.5,52.915457349652186,0.07744941196565762,-28.102651347452113,0.14200706739087549,0.17566833097261592,0.17818920559955598,0.98585284,1.7631278887982593,0.20040389961282049,-1.583517704190732,0.3489584797517647,664,681.8241,0.0,3.148265793821061E-15,19,705,808.7371280347508,0.8605096039446987,939.8351,18.418848,18.699585,17.933706,0.7658787,0.28073692,0.48514175,,,224.0309174263567,-54.65586631105494,40.7461824268796,-45.405766546603076,,,,,,,,,,,,,
5057379825615228416,439267984,2015.5,52.85468228522242,0.17968295858013564,-28.33386632850076,0.3528534794167304,0.2876183815141862,0.4523733022667075,0.63579875,2.937142377388145,0.4259731002477107,-7.083054707869954,0.7613592138109585,524,603.5294,0.5641121352690279,0.7242226338105007,18,563,280.9293556965801,0.8112886969969385,346.27545,19.566874,19.801298,19.085274,0.7160244,0.23442459,0.4815998,,,224.41446036523163,-54.740736687460036,40.561404747449366,-45.6046582591624,,,,,,,,,,,,,
