"Source Name","Association","RA","Dec","Gal l","Gal b","Flux 1-100 GeV(photons cm-2s-1)","+/-","Spectral Index","+/-","Variability Index","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0333.6+0233",,"53.4123","2.5635","182.214","-40.9306","3.63981e-10","8.13159e-11","2.07103","0.168033","38.3313","Unassociated","Link","Link","Link"
"3FGL J0336.1+7500",,"54.0439","75.0153","133.109","15.5034","1.46425e-9","1.24521e-10","1.94287","0.119382","33.8483","Unassociated","Link","Link","Link"
"3FGL J0340.4+5302",,"55.1005","53.0484","146.781","-1.81541","8.59994e-10","1.56263e-10","2.36733","0.116968","46.5935","Unassociated","Link","Link","Link"
"3FGL J0340.4-2423",,"55.1044","-24.3871","218.532","-52.0295","2.4962e-10","6.57135e-11","2.08847","0.185553","28.9695","Unassociated","Link","Link","Link"
"3FGL J0342.3+3148c",,"55.5763","31.8091","160.34","-18.3809","9.54383e-10","1.54502e-10","2.27601","0.0973085","47.9204","Unassociated","Link","Link","Link"
"3FGL J0342.8+1321",,"55.7109","13.3623","174.19","-31.9663","2.74482e-10","8.94657e-11","1.90912","0.190101","38.9595","Unassociated","Link","Link","Link"
"3FGL J0345.3+3236",,"56.3499","32.6015","160.337","-17.3531","6.52651e-10","1.39599e-10","2.42419","0.231556","54.3956","Unassociated","Link","Link","Link"
"3FGL J0348.1+4431",,"57.0475","44.5292","153.032","-7.76882","4.18942e-10","1.02403e-10","2.27601","0.145595","29.8807","Unassociated","Link","Link","Link"
"3FGL J0348.4+6039",,"57.105","60.6634","142.998","4.88458","3.58551e-10","1.13832e-10","1.8814","0.192596","39.2982","Unassociated","Link","Link","Link"
"3FGL J0351.0-2816",,"57.769","-28.2767","225.377","-50.4533","2.19523e-10","6.0737e-11","2.04263","0.218901","38.4395","Unassociated","Link","Link","Link"
"3FGL J0351.4-3248",,"57.8537","-32.8005","232.485","-50.8998","1.52545e-10","5.11034e-11","2.79707","0.194141","30.3114","Unassociated","Link","Link","Link"
"3FGL J0359.5+5413",,"59.8811","54.222","148.259","0.871941","3.21026e-9","2.38196e-10","2.02043","0.099264","33.6308","Unassociated","Link","Link","Link"
"3FGL J0359.7+7649",,"59.935","76.8313","133.024","17.813","2.37017e-10","5.96411e-11","2.166","0.174026","54.2012","Unassociated","Link","Link","Link"
"3FGL J0401.0-5359",,"60.2591","-53.9863","264.138","-46.3061","1.87797e-10","5.29462e-11","2.22342","0.26997","29.3081","Unassociated","Link","Link","Link"
"3FGL J0402.7+2616",,"60.6756","26.2696","167.76","-19.5175","2.79934e-10","7.47321e-11","2.77286","0.143421","50.4078","Unassociated","Link","Link","Link"
