Ind,source_id,ref_epoch,ra,ra_error,decl,dec_error,parallax,parallax_error,parallax_over_error,frac_para_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phto_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_G,G_rp,radial_velocity,radial_velocity_error,l,b,ecl_lat,ecl_lon,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_upper,radius_percentile_lower,lum_val,lum_percentile_upper,lum_percentile_lower,dist.c,fwhm_lo.c,fwhm_hi.c,sd.c,teff_val.c,sptype.c,project,name
2622459,5057485726625086208,2015.5,53.1707,0.0145453,-27.9627,0.0234136,0.897081,0.0300845,29.8187,0.033536,7.25131,0.0357911,-10.033,0.0500048,649.0,648.524,0.0,0.0,18.0,683.0,16075.8,3.50106,4591.68,15.1729,15.5407,14.6463,0.894324,0.367715,0.526609,0.0,0.0,223.848,-54.4129,-45.3509,41.1156,100001.0,5621.0,5464.67,6211.21,0.026,0.0105,0.2416,0.941805,0.996463,0.771324,0.797758,0.862629,0.732888,1116.2,1073.74,1162.16,37.5456,0.0,G6V,LADUMA,LADUMA
239487,5057425665802433920,2015.5,53.1507,0.0113337,-28.2441,0.0181982,0.870719,0.0232291,37.484,0.0266781,-6.23216,0.0285458,-18.8305,0.0406483,548.0,486.314,0.0,0.0,19.0,592.0,26294.9,4.69653,5598.81,14.6387,14.9201,14.1875,0.732586,0.281377,0.451209,0.0,0.0,224.322,-54.4703,-45.6095,40.9554,100001.0,5852.8,5610.0,6197.0,0.0562,0.0259,0.1157,1.13581,1.23625,1.01314,1.36382,1.45833,1.26932,1149.42,1114.38,1186.73,30.7206,0.0,G1V,LADUMA,LADUMA
691462,5057485142509525120,2015.5,53.3346,0.0125326,-27.8903,0.0210007,0.851427,0.0271972,31.3057,0.0319431,24.5841,0.0314467,10.0325,0.0489865,633.0,589.946,0.0,0.0,19.0,648.0,18506.9,3.67788,5031.94,15.02,15.3297,14.5389,0.790808,0.309669,0.481139,0.0,0.0,223.761,-54.259,-45.3318,41.3443,100001.0,5830.91,5322.8,5984.25,0.085,0.0196,0.197,0.982373,1.17888,0.932673,1.00506,1.08491,0.925214,1175.85,1133.18,1221.87,37.6592,0.0,G1V,LADUMA,LADUMA
904250,5057429514093164160,2015.5,53.3749,0.011921,-28.1991,0.0204827,0.84233,0.0256461,32.8444,0.0304466,7.78017,0.0319827,-10.8179,0.0511899,495.0,472.449,0.0,0.0,18.0,523.0,24264.1,5.37862,4511.22,14.726,15.0433,14.2485,0.794798,0.317327,0.47747,0.0,0.0,224.293,-54.2684,-45.6344,41.2429,100001.0,6175.01,5810.0,6799.69,0.0697,0.0026,0.2431,1.00716,1.13769,0.830609,1.32876,1.43096,1.22655,1188.42,1147.24,1232.66,36.2688,0.0,F8V,LADUMA,LADUMA
1162187,5057326434878290176,2015.5,53.1774,0.00925253,-28.4289,0.0141216,0.831252,0.0195416,42.5376,0.0235086,-0.691702,0.0217138,-10.7905,0.0300099,420.0,259.416,0.0,0.0,17.0,456.0,98135.7,15.8621,6186.79,13.2088,13.7503,12.5398,1.21049,0.541504,0.668983,0.0,0.0,224.643,-54.4721,-45.7912,40.8968,100001.0,4856.23,4785.73,5019.09,0.0,0.0,0.0,3.57635,3.68249,3.34802,6.40872,6.81642,6.00102,1203.74,1171.3,1238.03,28.337,0.0,K3V,LADUMA,LADUMA
1213000,5057424841168714880,2015.5,53.124,0.0122081,-28.3001,0.0196438,0.829055,0.0245822,33.7259,0.0296508,7.89624,0.029414,2.56481,0.0450173,532.0,671.067,0.0,0.0,19.0,567.0,155212.0,15.8159,9813.64,12.7111,13.2743,12.0255,1.24872,0.563198,0.685525,59.6953,0.710668,224.412,-54.5012,-45.6541,40.8965,100002.0,4923.33,4822.35,5061.86,0.0,0.0,0.0,4.35091,4.53503,4.11601,10.0205,10.5391,9.50187,1207.37,1166.6,1251.09,35.8787,0.0,K2.5V,LADUMA,LADUMA
2116638,5057493698084344832,2015.5,53.017,0.0124353,-27.8987,0.0222417,0.789722,0.0279209,28.2843,0.0353553,10.0286,0.0349231,-6.48991,0.0566776,681.0,597.695,0.0,0.0,17.0,724.0,25669.8,4.59301,5588.89,14.6648,14.9767,14.1906,0.786067,0.311878,0.474189,0.0,0.0,223.705,-54.5379,-45.2445,40.9649,100001.0,5848.75,5622.51,6033.42,0.143,0.035,0.4551,1.23917,1.3409,1.16448,1.61886,1.76025,1.47748,1267.95,1217.21,1323.11,44.9665,0.0,G1V,LADUMA,LADUMA
2258114,5057407558220357120,2015.5,53.3154,0.011735,-28.4513,0.0180294,0.783474,0.0233791,33.5117,0.0298403,-1.11087,0.027554,-1.44913,0.0403797,439.0,404.35,0.0,1.93162e-15,19.0,479.0,33431.0,6.82052,4901.54,14.378,14.6728,13.9273,0.745491,0.294767,0.450724,0.0,0.0,224.709,-54.3549,-45.8538,41.0494,100001.0,6116.0,5906.67,6223.0,0.305,0.0949,0.4596,1.29665,1.39019,1.25244,2.11939,2.28336,1.95542,1277.57,1234.16,1324.13,38.205,0.0,F8V,LADUMA,LADUMA
2545205,5057429857690542080,2015.5,53.4747,0.0134951,-28.1591,0.0222277,0.770698,0.026866,28.6867,0.0348594,11.92,0.0345107,9.7474,0.0523009,488.0,423.069,0.0,0.0,18.0,535.0,20437.5,4.5252,4516.38,14.9123,15.2515,14.4171,0.834446,0.339203,0.495243,0.0,0.0,224.247,-54.1756,-45.6266,41.3806,100001.0,5790.5,5599.11,5828.0,0.305,0.0819,0.4211,1.15779,1.2383,1.14294,1.35775,1.47585,1.23966,1299.17,1247.88,1354.85,45.4206,0.0,G2V,LADUMA,LADUMA
279807,5057434908572036352,2015.5,53.4259,0.00914178,-28.09,0.0156348,0.737094,0.0190724,38.6471,0.0258751,5.43872,0.0228207,-5.38443,0.0353438,526.0,366.032,0.0,1.7329e-15,18.0,567.0,68610.8,9.23247,7431.47,13.5974,14.0766,12.9731,1.10359,0.47926,0.624329,0.0,0.0,224.119,-54.2083,-45.547,41.3563,100001.0,4969.31,4907.87,5051.0,0.0,0.0,0.0,3.17676,3.25679,3.07483,5.54431,5.93294,5.15567,1357.58,1317.42,1400.27,35.1809,0.0,K2.5V,LADUMA,LADUMA
