level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69
238,1915,1916,J1910-5959C,J1910-5959C,19:11:05.5,-60:00:59.7,-4.100,-4.600,*,51910.00,281.05,-37.257,*,*,336.464,-25.662,287.773147,-60.016583,0.005277,189.489871,-7.756e-17,*,*,51910.00,33.21,*,*,1.300,2.800,TDB,*,*,0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,1.63,1.63,-14.38,-0.71,-0.59,7.15,"GC:NGC6752,XRS:[bgh+06,fhc+14]",pksgc,000000200000,2002,*,*,*,6.38e-01,3.87e+10,1.08e+08,5.80e+32,2.18e+32,6.162,47.618,1.37e-21,6.12e+10,8.59e+07,6.89e+03,
240,1993,1994,J1910-5959A,J1910-5959A,19:11:42.7,-59:58:26.9,-3.080,-3.970,*,51920.00,281.154,-37.227,*,*,336.525,-25.73,287.928148,-59.97414,0.003266,306.167446,-2.763e-16,*,*,51920.00,33.70,0.001,*,0.400,0.600,TDB,*,*,0.21,*,DD,51919.2065,0.8371,1.2060,*,*,*,*,*,0.1850,0.2166,He[cfpd06],4.55,1.69,-14.63,-1.98,-1.63,4.74,"GC:NGC6752,XRS:[fhc+14]",pksgc,000000200000,2001,*,*,*,4.35e+00,1.76e+10,9.93e+07,3.34e+33,1.61e+32,5.025,108.389,2.04e-21,2.54e+10,8.25e+07,2.67e+04,
241,2008,2009,J1546-59,J1546-59,15:46,-59,*,*,*,56102.00,248.856,-37.995,*,*,323.791,-3.39,236.5,-59.0,0.007800,128.205128,*,*,*,56102.00,168.30,*,*,0.670,*,TDB,*,*,0.20,*,*,*,*,*,*,*,*,*,*,*,*,*,3.89,3.89,-9.95,-0.23,-2.29,5.37,*,pksmb,000000040000,2012,*,*,*,3.03e+00,*,*,*,*,*,*,*,*,*,*,
246,2072,2073,J1103-5403,J1103-5403,11:03:33.2,-54:03:43.2,*,*,*,55300.00,198.529,-53.107,*,*,287.421,5.529,165.888725,-54.062013,0.003393,294.749655,-3.200e-16,*,*,55300.00,103.92,*,-103.00,0.140,*,TCB,*,*,0.18,*,*,*,*,*,*,*,*,*,*,*,*,*,1.68,1.68,10.01,0.16,-1.6,8.0,GRS:2FGL_J1103.9-5356[naa+12],FermiAssoc,000020000000,2011,HE[kjr+11],*,*,5.08e-01,1.46e+10,1.13e+08,3.72e+33,1.32e+33,*,*,*,*,*,2.72e+04,
248,2102,2103,J1514-4946,J1514-4946,15:14:19.1,-49:46:15.5,-0.300,-30.000,*,55520.00,240.265,-30.519,*,*,325.249,6.807,228.579642,-49.770977,0.003589,278.603009,-1.447e-15,*,*,55520.00,31.05,*,35.00,*,*,TDB,*,*,0.17,*,ELL1,*,1.9227,1.9333,36.29,1.090e-05,55585.8606,6.454e-06,8.789e-06,0.1692,0.1978,He[kcj+12],0.91,0.91,3.68,0.11,-0.52,7.76,GRS:3FGL_J1514.2-4947[aaa+15],FermiAssoc,000020000000,2012,HE,*,*,1.41e-01,3.05e+09,2.62e+08,1.59e+34,1.92e+34,30.001,129.435,1.15e-20,4.94e+09,2.06e+08,5.31e+04,
250,2131,2132,J0922-52,J0922-52,09:22,-52,*,*,*,56102.00,174.488,-61.493,*,*,273.745,-1.415,140.5,-52.0,0.009680,103.305785,*,*,*,56102.00,122.40,*,*,0.790,*,TDB,*,*,0.16,*,*,*,*,*,*,*,*,*,*,*,*,*,0.35,0.35,-3.02,-0.01,-0.35,8.48,*,pksmb,000000040000,2012,*,*,*,1.96e-02,*,*,*,*,*,*,*,*,*,*,
251,2135,2136,J1529-3828,J1529-3828,15:29:15.1,-38:28:45.8,*,*,*,55847.00,239.605,-18.933,*,*,333.886,14.728,232.312944,-38.479403,0.008486,117.837233,-3.750e-16,*,*,55847.00,73.62,*,-29.00,1.230,*,TDB,*,*,0.16,*,DD,55941.6000,119.6748,29.3405,282.20,1.686e-04,*,*,*,0.1631,0.1906,He[nbb+14],4.30,4.30,18.72,1.09,-1.83,4.77,*,htru_pks,000010000000,2014,*,*,*,2.96e+00,4.98e+09,4.84e+08,1.74e+33,9.43e+31,*,*,*,*,*,7.43e+03,
255,2203,2204,J1552-4937,J1552-4937,15:52:13.2,-49:37:49.7,-3.000,-13.000,*,54033.00,246.999,-28.711,*,*,330.342,3.372,238.055295,-49.630484,0.006284,159.126424,-4.811e-16,*,*,54033.00,114.19,*,*,0.900,*,TDB,*,*,0.14,*,*,*,*,*,*,*,*,*,*,*,*,*,3.06,3.06,6.72,0.18,-1.51,5.85,*,pksmb,000000040000,2004,*,*,*,1.31e+00,5.24e+09,3.50e+08,3.02e+33,3.23e+32,13.342,193.552,1.07e-20,9.32e+09,2.62e+08,1.32e+04,
267,2378,2379,J1910-5959E,J1910-5959E,19:10:52.1,-59:59:02.0,*,*,*,51910.00,281.021,-37.221,*,*,336.494,-25.628,287.717322,-59.983913,0.004572,218.733858,2.078e-14,*,*,51910.00,33.31,*,*,0.600,1.100,TDB,*,*,0.07,*,*,*,*,*,*,*,*,*,*,*,*,*,1.63,1.63,-14.41,-0.71,-0.59,7.15,"GC:NGC6752,XRS:[fhc+14]",pksgc,000000200000,2002,*,*,*,1.86e-01,*,*,*,*,*,*,*,*,*,*,
271,2405,2406,J1125-6014,J1125-6014,11:25:55.2,-60:14:06.6,*,*,*,53141.00,209.504,-55.659,*,*,292.504,0.894,171.480075,-60.235169,0.002630,380.173100,-5.790e-16,*,*,53141.00,52.95,*,*,0.210,*,TDB,*,*,0.05,*,ELL1,*,8.7526,8.3392,273.58,8.016e-07,53171.5856,-8.000e-07,5.000e-08,0.2783,0.3278,He[lfl+06],0.99,0.99,0.83,0.02,-0.91,8.12,*,"pksmb,htru_pks",000010040000,2004,*,*,*,4.90e-02,1.04e+10,1.04e+08,8.69e+33,8.87e+33,*,*,*,*,*,5.35e+04,
